date,open,high,low,close,adj_close,change,volume
"Aug 29, 2024",195.91,199.11,192.31,194.44,194.14,0.35%,"2,463,939"
"Aug 28, 2024",197.19,197.45,192.41,193.77,193.47,-1.21%,"2,493,220"
"Aug 27, 2024",194.89,198.30,193.57,196.14,195.83,0.64%,"1,703,202"
"Aug 26, 2024",195.50,197.99,193.08,194.89,194.58,-0.05%,"1,953,522"
"Aug 23, 2024",195.01,197.33,192.52,194.99,194.68,0.02%,"2,683,276"
"Aug 22, 2024",195.57,198.81,194.71,194.95,194.64,-0.91%,"1,520,453"
"Aug 21, 2024",191.48,197.33,190.98,196.74,196.43,3.16%,"2,404,394"
"Aug 20, 2024",193.00,193.50,189.64,190.72,190.42,-1.07%,"2,506,982"
"Aug 19, 2024",189.61,192.88,185.56,192.78,192.48,1.47%,"2,025,073"
"Aug 16, 2024",191.22,191.36,185.83,189.98,189.68,-0.22%,"2,572,264"
"Aug 15, 2024",186.40,192.58,185.49,190.39,190.09,2.28%,"4,241,891"
"Aug 14, 2024",188.96,189.89,182.21,186.15,185.86,-1.72%,"2,327,865"
"Aug 13, 2024",189.34,190.85,187.07,189.41,189.11,1.11%,"2,349,082"
"Aug 12, 2024",190.00,190.83,183.70,187.33,187.04,-1.34%,"2,232,380"
"Aug 9, 2024",187.08,190.10,183.07,189.87,189.22,1.52%,"3,204,019"
"Aug 8, 2024",183.25,187.63,176.42,187.03,186.39,4.10%,"3,338,797"
"Aug 7, 2024",190.09,190.09,176.90,179.66,179.04,-0.76%,"6,154,894"
"Aug 6, 2024",173.64,183.83,168.39,181.04,180.42,6.51%,"6,322,082"
"Aug 5, 2024",156.24,172.76,155.60,169.97,169.39,1.73%,"5,430,815"
"Aug 2, 2024",174.47,175.33,161.44,167.08,166.51,-5.91%,"6,099,151"
"Aug 1, 2024",188.29,194.27,176.62,177.57,176.96,-6.44%,"4,482,086"
"Jul 31, 2024",193.28,196.50,183.00,189.80,189.15,12.51%,"7,483,724"
"Jul 30, 2024",173.47,175.03,165.75,168.69,168.11,-2.31%,"3,517,101"
"Jul 29, 2024",176.05,177.15,171.13,172.68,172.09,-1.35%,"2,100,141"
"Jul 26, 2024",176.54,177.07,171.44,175.04,174.44,2.70%,"3,469,481"
"Jul 25, 2024",176.70,176.84,165.87,170.43,169.84,-2.66%,"5,542,015"
"Jul 24, 2024",188.29,188.29,174.70,175.08,174.48,-7.79%,"4,910,286"
"Jul 23, 2024",189.67,192.16,188.30,189.87,189.22,-0.29%,"1,856,639"
"Jul 22, 2024",192.24,196.82,188.61,190.42,189.76,0.59%,"1,868,849"
"Jul 19, 2024",188.02,189.94,186.40,189.30,188.65,1.08%,"2,826,978"
"Jul 18, 2024",190.37,192.84,178.07,187.28,186.64,0.33%,"5,484,917"
"Jul 17, 2024",202.13,203.06,185.77,186.67,186.03,-8.89%,"6,748,654"
"Jul 16, 2024",214.14,215.01,204.06,204.88,204.17,-3.76%,"4,049,649"
"Jul 15, 2024",217.00,219.65,211.64,212.88,212.15,-1.96%,"2,164,543"
"Jul 12, 2024",216.26,221.14,212.31,217.14,216.39,0.14%,"1,760,776"
"Jul 11, 2024",219.56,220.54,215.19,216.84,216.09,-1.23%,"2,438,194"
"Jul 10, 2024",218.18,219.96,213.74,219.55,218.79,1.66%,"2,584,461"
"Jul 9, 2024",217.04,222.37,215.06,215.96,215.22,0.11%,"1,773,626"
"Jul 8, 2024",211.83,216.43,211.25,215.73,214.99,2.10%,"1,634,597"
